,session,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,"(5, 'high')",0.01029207706451416,0.0012240359810469417,0.0016942977905273437,0.00029492054816456376,8,0.24074797818114912,1.3605850354517506,"{'pca__n_components': 8, 'svc__C': 0.24074797818114912, 'svc__gamma': 1.3605850354517506}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,0.8823529411764706,0.6764705882352942,0.8823529411764706,0.8823529411764706,0.8611111111111112,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.859640522875817,0.0613842155170872
1,"(5, 'high')",0.015239071846008301,0.0028676292462289973,0.001807093620300293,0.00028133697932410096,9,3817.9531667355664,0.00019794155307923224,"{'pca__n_components': 9, 'svc__C': 3817.9531667355664, 'svc__gamma': 0.00019794155307923224}",0.75,0.4,0.4,0.5,0.5,0.25,0.25,0.375,0.5,0.375,0.43,0.1377497731395591,26,0.8404411764705882,0.9161764705882353,0.8529411764705883,0.9117647058823529,0.8916666666666666,0.9045911047345767,0.9583931133428981,0.8995695839311334,0.9167862266857962,0.8873744619799139,0.8979704686752749,0.03172117291499574
2,"(5, 'high')",0.011019468307495117,0.00041000010577960436,0.0018417119979858398,0.00023615463281644573,8,0.6252409148594711,0.15506772502161342,"{'pca__n_components': 8, 'svc__C': 0.6252409148594711, 'svc__gamma': 0.15506772502161342}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9970588235294118,0.008823529411764707
3,"(5, 'high')",0.01006488800048828,0.0013651802070906037,0.0017609357833862304,0.00035414895812399506,9,1157.9900697218309,1.0738778665822482e-05,"{'pca__n_components': 9, 'svc__C': 1157.9900697218309, 'svc__gamma': 1.0738778665822482e-05}",0.5,0.5,0.5,0.65,0.7,0.5,0.375,0.25,0.625,0.25,0.485,0.1471393896956216,15,0.6522058823529412,0.6558823529411765,0.6941176470588235,0.6941176470588235,0.5777777777777777,0.6133428981348636,0.7137733142037304,0.6305595408895266,0.6427546628407461,0.6011477761836441,0.6475679499442053,0.04161351597681918
4,"(5, 'high')",0.5898387670516968,0.324690333198475,0.0017059326171875,0.00029845998802787387,5,736555.399227253,9.617306308605297e-05,"{'pca__n_components': 5, 'svc__C': 736555.399227253, 'svc__gamma': 9.617306308605297e-05}",0.2,0.5,0.65,0.5,0.5,0.375,0.25,0.5,0.5,0.375,0.43499999999999994,0.12806248474865697,24,0.8742647058823529,0.7985294117647059,0.8867647058823529,0.9161764705882353,0.8791666666666667,0.8873744619799139,0.9167862266857962,0.8235294117647058,0.8995695839311334,0.9461979913916786,0.8828359636537542,0.04160143668234283
5,"(5, 'high')",0.012462472915649414,0.003910299178105733,0.0017698049545288087,8.39842397902632e-05,6,31302.71340797644,0.04733169267189274,"{'pca__n_components': 6, 'svc__C': 31302.71340797644, 'svc__gamma': 0.04733169267189274}",0.3,0.4,0.4,0.5,0.4,0.375,0.375,0.5,0.5,0.5,0.425,0.0670820393249937,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,"(5, 'high')",0.01121213436126709,0.0007602710061863284,0.001816558837890625,0.0001388411839280612,9,0.022556954496275403,5.494368786801342,"{'pca__n_components': 9, 'svc__C': 0.022556954496275403, 'svc__gamma': 5.494368786801342}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8611111111111112,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8802287581699346,0.00637254901960782
7,"(5, 'high')",0.010879588127136231,0.00039755472778035773,0.0031573295593261717,0.004146793035944717,9,0.014197044839476433,1.732535615427237e-05,"{'pca__n_components': 9, 'svc__C': 0.014197044839476433, 'svc__gamma': 1.732535615427237e-05}",0.5,0.4,0.3,0.55,0.3,0.5,0.125,0.25,0.5,0.25,0.3675,0.1351156911687166,29,0.6183823529411765,0.5933823529411765,0.5941176470588235,0.6397058823529411,0.6472222222222221,0.6176470588235294,0.6843615494978479,0.6255380200860832,0.6771879483500718,0.6771879483500718,0.6374732982623945,0.03190103399026961
8,"(5, 'high')",0.02387387752532959,0.01590590500285109,0.001797032356262207,0.00013174127260219358,1,85175.4405738212,0.00010939375474644643,"{'pca__n_components': 1, 'svc__C': 85175.4405738212, 'svc__gamma': 0.00010939375474644643}",0.4,0.75,0.4,0.5,0.5,0.5,0.5,0.375,0.75,0.5,0.5175,0.1255239021063319,1,0.6095588235294118,0.513235294117647,0.6183823529411765,0.5720588235294117,0.5833333333333334,0.5738880918220947,0.5738880918220947,0.5272596843615495,0.5566714490674318,0.603299856527977,0.5731575801052129,0.032177317556960544
9,"(5, 'high')",0.01040337085723877,0.00026758981105695835,0.0017972707748413086,3.369961224065493e-05,2,0.03354875019569653,0.00011354483914784967,"{'pca__n_components': 2, 'svc__C': 0.03354875019569653, 'svc__gamma': 0.00011354483914784967}",0.5,0.9,0.7,0.45,0.3,0.5,0.125,0.25,0.5,0.125,0.43499999999999994,0.23323807579381203,24,0.513235294117647,0.4595588235294118,0.5941176470588235,0.5147058823529411,0.5597222222222222,0.5344332855093257,0.5624103299856529,0.5423242467718795,0.5674318507890961,0.5552367288378767,0.5403176311174877,0.03559055954114786
