feature,i,score
plv_alpha_P3,7,0.5412261634225867
plv_alpha_P3,8,0.5364226314545415
plv_alpha_P3,9,0.5070560253699788
plv_alpha_Pz,0,0.4815460739779364
plv_alpha_Pz,1,0.4851721021933788
plv_alpha_Pz,2,0.4861443516218861
plv_alpha_Pz,3,0.49199717962277456
plv_alpha_Pz,4,0.5086955073212174
plv_alpha_Pz,5,0.5139307897071872
plv_alpha_Pz,6,0.5417958656330749
plv_alpha_Pz,7,0.48570628725751736
plv_alpha_Pz,8,0.48141263940520446
plv_alpha_Pz,9,0.505100422832981
plv_alpha_PO3,0,0.49399740428293315
plv_alpha_PO3,1,0.511862318245297
plv_alpha_PO3,2,0.4624670730789494
plv_alpha_PO3,3,0.5209941829719725
plv_alpha_PO3,4,0.5292765404540987
plv_alpha_PO3,5,0.5103667553978113
plv_alpha_PO3,6,0.5024547803617572
plv_alpha_PO3,7,0.5089994401080262
plv_alpha_PO3,8,0.5034596127812279
plv_alpha_PO3,9,0.5132840028188865
plv_alpha_O1,0,0.4987832576249189
plv_alpha_O1,1,0.48815411155836685
plv_alpha_O1,2,0.49687664634605255
plv_alpha_O1,3,0.505270579940067
plv_alpha_O1,4,0.5040978827605738
plv_alpha_O1,5,0.5073203194321206
plv_alpha_O1,6,0.5692506459948321
plv_alpha_O1,7,0.5270888910845437
plv_alpha_O1,8,0.5241850570513785
plv_alpha_O1,9,0.4943798449612403
plv_alpha_Oz,0,0.4711226476314082
plv_alpha_Oz,1,0.5069333771461431
plv_alpha_Oz,2,0.4982765108752916
plv_alpha_Oz,3,0.5158646218931782
plv_alpha_Oz,4,0.5116189968516266
plv_alpha_Oz,5,0.4901804199940846
plv_alpha_Oz,6,0.5185400516795866
plv_alpha_Oz,7,0.5129845535684879
plv_alpha_Oz,8,0.4979263811590777
plv_alpha_Oz,9,0.5016032417195208
plv_alpha_O2,0,0.48397955872809867
plv_alpha_O2,1,0.50897067280046
plv_alpha_O2,2,0.48098141040114395
plv_alpha_O2,3,0.5023973206416359
plv_alpha_O2,4,0.5362979127450818
plv_alpha_O2,5,0.5206152026027803
plv_alpha_O2,6,0.510109819121447
plv_alpha_O2,7,0.5116012910450219
plv_alpha_O2,8,0.47601908159099215
plv_alpha_O2,9,0.5123942917547568
plv_alpha_PO4,0,0.48393900064892925
plv_alpha_PO4,1,0.5355294504230674
plv_alpha_PO4,2,0.499984947693234
plv_alpha_PO4,3,0.5138374757623831
plv_alpha_PO4,4,0.49849244556978894
plv_alpha_PO4,5,0.5128808044957114
plv_alpha_PO4,6,0.4786498708010336
plv_alpha_PO4,7,0.5045697065507361
plv_alpha_PO4,8,0.47961836818015774
plv_alpha_PO4,9,0.5075669485553206
plv_alpha_P4,0,0.5015209279688514
plv_alpha_P4,1,0.5202415181138585
plv_alpha_P4,2,0.5097237901708437
plv_alpha_P4,3,0.492896174863388
plv_alpha_P4,4,0.49258716329896224
plv_alpha_P4,5,0.5018633540372671
plv_alpha_P4,6,0.4988372093023256
plv_alpha_P4,7,0.5056977242038007
plv_alpha_P4,8,0.5115821819197628
plv_alpha_P4,9,0.528523608174771
plv_alpha_P8,0,0.4771455223880597
plv_alpha_P8,1,0.4988827733508585
plv_alpha_P8,2,0.4889741852938963
plv_alpha_P8,3,0.4982196368764322
plv_alpha_P8,4,0.4693574986257101
plv_alpha_P8,5,0.4747855664004732
plv_alpha_P8,6,0.5001291989664083
plv_alpha_P8,7,0.4807084280209465
plv_alpha_P8,8,0.4725594688097643
plv_alpha_P8,9,0.5164728682170543
plv_alpha_CP6,0,0.5040152498377677
plv_alpha_CP6,1,0.4819518606752649
plv_alpha_CP6,2,0.4982765108752916
plv_alpha_CP6,3,0.5059227921734533
plv_alpha_CP6,4,0.5015575286102181
plv_alpha_CP6,5,0.4905057675244011
plv_alpha_CP6,6,0.5049095607235142
plv_alpha_CP6,7,0.4957184731416527
plv_alpha_CP6,8,0.49772224251670716
plv_alpha_CP6,9,0.5147374911909796
plv_alpha_CP2,0,0.511984912394549
plv_alpha_CP2,1,0.5108025959089789
plv_alpha_CP2,2,0.5045533227967186
plv_alpha_CP2,3,0.4870174510840825
plv_alpha_CP2,4,0.4940863886991721
plv_alpha_CP2,5,0.502913339248743
plv_alpha_CP2,6,0.5083010335917313
plv_alpha_CP2,7,0.4869742779040279
plv_alpha_CP2,8,0.5047811418871005
plv_alpha_CP2,9,0.48896229739252994
plv_alpha_C4,0,0.507665476963011
plv_alpha_C4,1,0.49171937895342155
plv_alpha_C4,2,0.506254233461278
plv_alpha_C4,3,0.4347082672307421
plv_alpha_C4,4,0.4649264546650897
plv_alpha_C4,5,0.5148624667258208
plv_alpha_C4,6,0.54515503875969
plv_alpha_C4,7,0.5362777064189969
plv_alpha_C4,8,0.4871929862260137
plv_alpha_C4,9,0.529748062015504
plv_alpha_T8,0,0.5172574626865671
plv_alpha_T8,1,0.4998028423560339
plv_alpha_T8,2,0.5244976292616843
plv_alpha_T8,3,0.5160849638639168
plv_alpha_T8,4,0.5095533974113374
plv_alpha_T8,5,0.5188701567583556
plv_alpha_T8,6,0.5417635658914729
plv_alpha_T8,7,0.5053107400454501
plv_alpha_T8,8,0.48149859251778154
plv_alpha_T8,9,0.5019644115574349
plv_alpha_FC6,0,0.47840282284231017
plv_alpha_FC6,1,0.4969440565185246
plv_alpha_FC6,2,0.5371942500188154
plv_alpha_FC6,3,0.4956196016217169
plv_alpha_FC6,4,0.500449767620063
plv_alpha_FC6,5,0.5049393670511683
plv_alpha_FC6,6,0.488468992248062
plv_alpha_FC6,7,0.5044297335572901
plv_alpha_FC6,8,0.4838515589745793
plv_alpha_FC6,9,0.4948467230443975
plv_alpha_FC2,0,0.46931781310837123
plv_alpha_FC2,1,0.5075823543908651
plv_alpha_FC2,2,0.49614660946790096
plv_alpha_FC2,3,0.49874845760620484
plv_alpha_FC2,4,0.4945028401992304
plv_alpha_FC2,5,0.49745637385388936
plv_alpha_FC2,6,0.4635658914728682
plv_alpha_FC2,7,0.4709432533017159
plv_alpha_FC2,8,0.4867524765240561
plv_alpha_FC2,9,0.4821793516560958
plv_alpha_F4,0,0.4805929591174562
plv_alpha_F4,1,0.5119444672636162
plv_alpha_F4,2,0.49655302175058325
plv_alpha_F4,3,0.4789441212762207
plv_alpha_F4,4,0.484349752627809
plv_alpha_F4,5,0.5145962732919255
plv_alpha_F4,6,0.4440891472868217
plv_alpha_F4,7,0.5074268023581332
plv_alpha_F4,8,0.4943915594043449
